Time,Prey,Predators,Food,Prey_Births,Predator_Births,Prey_Avg_Energy,Predator_Avg_Energy
1,35,5,25,0,0,99.95,99.92
2,35,5,24,0,0,101.04285714285714,99.84
3,35,5,24,0,0,100.99285714285716,99.76
4,35,5,24,0,0,100.94285714285715,99.68
5,35,5,24,0,0,100.89285714285715,99.60000000000001
6,35,5,24,0,0,100.84285714285716,99.52000000000001
7,35,5,24,0,0,100.79285714285716,99.44000000000001
8,35,5,24,0,0,100.74285714285718,99.36000000000001
9,35,5,24,0,0,100.69285714285716,99.28000000000002
10,35,5,24,0,0,100.64285714285717,99.20000000000002
11,35,5,24,0,0,100.59285714285717,99.12000000000002
12,35,5,24,0,0,100.54285714285717,99.04000000000002
13,35,5,24,0,0,100.49285714285718,98.96000000000002
14,35,5,24,0,0,100.44285714285718,98.88000000000002
15,35,5,24,0,0,100.39285714285718,98.80000000000003
16,35,5,24,0,0,100.34285714285718,98.72000000000003
17,35,5,24,0,0,100.29285714285719,98.64000000000003
18,35,5,24,0,0,100.24285714285718,98.56000000000003
19,35,5,24,0,0,100.19285714285719,98.48000000000003
20,35,5,24,0,0,100.1428571428572,98.40000000000003
21,34,5,24,0,0,100.12647058823534,112.32000000000002
22,34,5,24,0,0,100.07647058823534,112.24000000000004
23,34,5,24,0,0,100.02647058823536,112.16000000000004
24,34,5,24,0,0,99.97647058823536,112.08000000000004
25,34,5,24,0,0,99.92647058823536,112.00000000000004
26,34,5,24,0,0,99.87647058823535,111.92000000000003
27,34,5,24,0,0,99.82647058823535,111.84000000000003
28,34,5,24,0,0,99.77647058823537,111.76000000000003
29,34,5,24,0,0,99.72647058823537,111.68000000000002
30,34,5,24,0,0,99.67647058823538,111.60000000000002
31,34,5,24,0,0,99.62647058823536,111.52000000000002
32,34,5,24,0,0,99.57647058823537,111.44000000000003
33,34,5,24,0,0,99.52647058823538,111.36000000000004
34,34,5,24,0,0,99.47647058823539,111.28000000000002
35,34,5,24,0,0,99.42647058823538,111.20000000000002
36,34,5,24,0,0,99.37647058823538,111.12000000000003
37,34,5,24,0,0,99.32647058823538,111.04
38,34,5,24,0,0,99.27647058823538,110.96000000000001
39,34,5,24,0,0,99.2264705882354,110.88000000000002
40,34,5,25,0,0,99.17647058823539,110.80000000000003
41,34,5,25,0,0,99.12647058823539,110.72000000000003
42,34,5,25,0,0,99.0764705882354,110.64000000000001
43,34,5,25,0,0,99.0264705882354,110.56000000000002
44,34,5,25,0,0,98.9764705882354,110.48000000000002
45,34,5,25,0,0,98.9264705882354,110.4
46,34,5,25,0,0,98.8764705882354,110.32000000000001
47,34,5,25,0,0,98.82647058823541,110.24000000000001
48,34,5,25,0,0,98.77647058823541,110.16000000000001
49,34,5,24,0,0,99.9029411764707,110.08000000000001
50,34,5,24,0,0,99.85294117647071,110.0
51,34,5,24,0,0,99.80294117647071,109.92
52,34,5,24,0,0,99.75294117647071,109.84
53,34,5,24,0,0,99.70294117647072,109.75999999999999
54,34,5,24,0,0,99.65294117647072,109.67999999999999
55,34,5,24,0,0,99.60294117647072,109.6
56,34,5,24,0,0,99.55294117647072,109.52000000000001
57,34,5,24,0,0,99.50294117647071,109.44000000000001
58,34,5,24,0,0,99.45294117647073,109.35999999999999
59,34,5,24,0,0,99.40294117647073,109.28
60,34,5,24,0,0,99.35294117647074,109.2
61,34,5,24,0,0,99.30294117647072,109.11999999999998
62,34,5,24,0,0,99.25294117647073,109.03999999999999
63,34,5,24,0,0,99.20294117647074,108.96
64,34,5,24,0,0,99.15294117647075,108.88
65,34,5,24,0,0,99.10294117647074,108.8
66,34,5,24,0,0,99.05294117647074,108.71999999999998
67,34,5,24,0,0,99.00294117647074,108.63999999999999
68,34,5,24,0,0,98.95294117647074,108.55999999999999
69,34,5,24,0,0,98.90294117647075,108.47999999999998
70,34,5,24,0,0,98.85294117647075,108.39999999999998
71,34,5,24,0,0,98.80294117647075,108.31999999999998
72,34,5,24,0,0,98.75294117647076,108.23999999999998
73,34,5,24,0,0,98.70294117647074,108.16
74,34,5,24,0,0,98.65294117647076,108.07999999999997
75,34,5,24,0,0,98.60294117647076,107.99999999999997
76,34,5,24,0,0,98.55294117647077,107.91999999999999
77,34,5,24,0,0,98.50294117647076,107.83999999999996
78,33,5,24,0,0,98.5242424242426,121.75999999999996
79,33,5,24,0,0,98.4742424242426,121.67999999999998
80,33,5,25,0,0,98.4242424242426,121.59999999999995
81,33,5,25,0,0,98.3742424242426,121.51999999999995
82,33,5,25,0,0,98.32424242424261,121.43999999999997
83,33,5,25,0,0,98.27424242424262,121.35999999999994
84,33,5,25,0,0,98.2242424242426,121.27999999999994
85,33,5,25,0,0,98.17424242424262,121.19999999999996
86,33,5,25,0,0,98.12424242424261,121.11999999999993
87,33,5,25,0,0,98.07424242424261,121.03999999999994
88,33,5,25,0,0,98.02424242424263,120.95999999999995
89,33,5,25,0,0,97.97424242424262,120.87999999999992
90,33,5,25,0,0,97.92424242424262,120.79999999999993
91,33,5,25,0,0,97.87424242424262,120.71999999999991
92,33,5,25,0,0,97.82424242424263,120.63999999999992
93,33,5,25,0,0,97.77424242424263,120.55999999999992
94,33,5,25,0,0,97.72424242424263,120.4799999999999
95,33,5,25,0,0,97.67424242424264,120.3999999999999
96,33,5,25,0,0,97.62424242424264,120.3199999999999
97,33,5,25,0,0,97.57424242424264,120.2399999999999
98,33,5,25,0,0,97.52424242424263,120.1599999999999
99,33,5,25,0,0,97.47424242424265,120.07999999999988
100,33,5,25,0,0,97.42424242424265,119.99999999999989
101,33,5,25,0,0,97.37424242424264,119.91999999999989
102,33,5,25,0,0,97.32424242424266,119.83999999999988
103,33,5,25,0,0,97.27424242424264,119.75999999999988
104,33,5,25,0,0,97.22424242424265,119.67999999999988
105,32,6,25,0,1,96.00000000000026,119.66666666666656
106,32,6,25,0,0,95.95000000000026,119.58666666666655
107,32,6,25,0,0,95.90000000000026,119.50666666666655
108,32,6,25,0,0,95.85000000000026,119.42666666666655
109,32,6,25,0,0,95.80000000000027,119.34666666666654
110,32,6,25,0,0,95.75000000000027,119.26666666666654
111,32,6,25,0,0,95.70000000000027,119.18666666666654
112,32,6,25,0,0,95.65000000000028,119.10666666666653
113,32,6,25,0,0,95.60000000000028,119.02666666666653
114,32,6,25,0,0,95.55000000000027,118.94666666666653
115,32,6,25,0,0,95.50000000000027,118.86666666666652
116,32,6,25,0,0,95.45000000000027,118.78666666666652
117,32,6,25,0,0,95.40000000000028,118.70666666666652
118,32,6,25,0,0,95.35000000000028,118.62666666666651
119,32,6,25,0,0,95.30000000000028,118.54666666666651
120,32,6,26,0,0,95.25000000000028,118.46666666666651
121,32,6,26,0,0,95.20000000000029,118.3866666666665
122,32,6,26,0,0,95.15000000000029,118.3066666666665
123,32,6,26,0,0,95.10000000000029,118.2266666666665
124,32,6,26,0,0,95.0500000000003,118.14666666666649
125,32,6,26,0,0,95.0000000000003,118.06666666666649
126,32,6,26,0,0,94.9500000000003,117.9866666666665
127,32,6,26,0,0,94.9000000000003,117.90666666666648
128,32,6,26,0,0,94.8500000000003,117.82666666666648
129,32,6,26,0,0,94.80000000000031,117.74666666666648
130,32,6,26,0,0,94.75000000000031,117.66666666666647
131,32,6,26,0,0,94.70000000000032,117.58666666666647
132,32,6,26,0,0,94.65000000000032,117.50666666666648
133,32,6,26,0,0,94.60000000000032,117.42666666666646
134,32,6,26,0,0,94.55000000000032,117.34666666666647
135,32,6,26,0,0,94.50000000000033,117.26666666666647
136,32,6,26,0,0,94.45000000000033,117.18666666666645
137,32,6,26,0,0,94.40000000000033,117.10666666666646
138,32,6,26,0,0,94.35000000000034,117.02666666666646
139,32,6,26,0,0,94.30000000000034,116.94666666666645
140,32,6,26,0,0,94.25000000000034,116.86666666666645
141,32,6,26,0,0,94.20000000000034,116.78666666666645
142,32,6,26,0,0,94.15000000000035,116.70666666666644
143,32,6,26,0,0,94.10000000000035,116.62666666666644
144,32,6,26,0,0,94.05000000000035,116.54666666666644
145,32,6,26,0,0,94.00000000000036,116.46666666666643
146,32,6,26,0,0,93.95000000000036,116.38666666666643
147,32,6,26,0,0,93.90000000000035,116.30666666666643
148,32,6,26,0,0,93.85000000000035,116.22666666666642
149,32,6,26,0,0,93.80000000000035,116.14666666666642
150,32,6,26,0,0,93.75000000000036,116.06666666666642
151,32,6,26,0,0,93.70000000000036,115.98666666666641
152,32,6,26,0,0,93.65000000000036,115.90666666666641
153,32,6,26,0,0,93.60000000000036,115.82666666666641
154,32,6,26,0,0,93.55000000000037,115.7466666666664
155,32,6,26,0,0,93.50000000000037,115.6666666666664
156,32,6,26,0,0,93.45000000000037,115.5866666666664
157,32,6,26,0,0,93.40000000000038,115.50666666666639
158,32,6,26,0,0,93.35000000000038,115.42666666666639
159,32,6,26,0,0,93.30000000000038,115.3466666666664
160,32,6,27,0,0,93.25000000000038,115.26666666666638
161,32,6,27,0,0,93.20000000000039,115.18666666666638
162,32,6,27,0,0,93.15000000000039,115.10666666666638
163,33,6,26,1,0,93.46060606060644,115.02666666666637
164,33,6,26,0,0,93.41060606060644,114.94666666666637
165,33,6,26,0,0,93.36060606060644,114.86666666666638
166,33,6,26,0,0,93.31060606060645,114.78666666666636
167,33,6,26,0,0,93.26060606060646,114.70666666666637
168,33,6,26,0,0,93.21060606060645,114.62666666666637
169,33,6,26,0,0,93.16060606060645,114.54666666666635
170,33,6,26,0,0,93.11060606060646,114.46666666666636
171,33,6,26,0,0,93.06060606060646,114.38666666666636
172,33,6,26,0,0,93.01060606060646,114.30666666666635
173,33,6,26,0,0,92.96060606060647,114.22666666666635
174,33,6,26,0,0,92.91060606060647,114.14666666666635
175,33,6,26,0,0,92.86060606060646,114.06666666666634
176,33,6,26,0,0,92.81060606060647,113.98666666666634
177,33,6,26,0,0,92.76060606060648,113.90666666666634
178,33,6,26,0,0,92.71060606060648,113.82666666666633
179,33,6,26,0,0,92.66060606060648,113.74666666666633
180,33,6,26,0,0,92.61060606060647,113.66666666666633
181,33,6,26,0,0,92.56060606060649,113.58666666666632
182,33,6,26,0,0,92.51060606060649,113.50666666666632
183,33,6,26,0,0,92.4606060606065,113.42666666666632
184,33,6,26,0,0,92.4106060606065,113.34666666666631
185,33,6,26,0,0,92.36060606060649,113.26666666666631
186,33,6,26,0,0,92.3106060606065,113.18666666666631
187,33,6,26,0,0,92.2606060606065,113.1066666666663
188,33,6,26,0,0,92.2106060606065,113.0266666666663
189,33,6,26,0,0,92.16060606060651,112.9466666666663
190,33,6,26,0,0,92.1106060606065,112.86666666666629
191,33,6,26,0,0,92.0606060606065,112.78666666666629
192,33,6,26,0,0,92.0106060606065,112.7066666666663
193,33,6,26,0,0,91.96060606060651,112.62666666666628
194,33,6,26,0,0,91.91060606060653,112.54666666666628
195,33,6,26,0,0,91.86060606060651,112.46666666666628
196,33,6,26,0,0,91.81060606060652,112.38666666666627
197,33,6,26,0,0,91.76060606060652,112.30666666666627
198,33,6,26,0,0,91.71060606060652,112.22666666666628
199,33,6,26,0,0,91.66060606060654,112.14666666666626
200,33,6,27,0,0,91.61060606060653,112.06666666666626
201,33,6,27,0,0,91.56060606060653,111.98666666666627
202,33,6,27,0,0,91.51060606060653,111.90666666666625
203,33,6,27,0,0,91.46060606060654,111.82666666666626
204,33,6,27,0,0,91.41060606060654,111.74666666666626
205,33,6,27,0,0,91.36060606060654,111.66666666666625
206,33,6,27,0,0,91.31060606060655,111.58666666666625
207,33,6,27,0,0,91.26060606060653,111.50666666666625
208,33,6,27,0,0,91.21060606060655,111.42666666666624
209,33,6,27,0,0,91.16060606060655,111.34666666666624
210,33,6,27,0,0,91.11060606060656,111.26666666666624
211,33,6,27,0,0,91.06060606060656,111.18666666666623
212,33,6,27,0,0,91.01060606060655,111.10666666666623
213,33,6,27,0,0,90.96060606060657,111.02666666666623
214,33,6,27,0,0,90.91060606060657,110.94666666666622
215,33,6,27,0,0,90.86060606060657,110.86666666666622
216,33,6,27,0,0,90.81060606060657,110.78666666666622
217,33,6,27,0,0,90.76060606060656,110.70666666666621
218,33,6,27,0,0,90.71060606060658,110.62666666666621
219,33,6,27,0,0,90.66060606060658,110.54666666666621
220,33,6,27,0,0,90.61060606060657,110.4666666666662
221,33,6,27,0,0,90.56060606060659,110.3866666666662
222,33,6,27,0,0,90.51060606060658,110.3066666666662
223,33,6,27,0,0,90.46060606060658,110.22666666666619
224,33,6,27,0,0,90.4106060606066,110.14666666666619
225,33,6,27,0,0,90.36060606060659,110.0666666666662
226,33,6,27,0,0,90.3106060606066,109.98666666666618
227,33,6,27,0,0,90.26060606060659,109.90666666666618
228,33,6,27,0,0,90.2106060606066,109.82666666666618
229,33,6,27,0,0,90.1606060606066,109.74666666666617
230,33,6,27,0,0,90.1106060606066,109.66666666666617
231,33,6,27,0,0,90.06060606060662,109.58666666666618
232,33,6,27,0,0,90.0106060606066,109.50666666666616
233,33,6,27,0,0,89.96060606060661,109.42666666666616
234,33,6,27,0,0,89.91060606060661,109.34666666666617
235,33,6,27,0,0,89.86060606060661,109.26666666666615
236,32,6,27,0,0,89.86093750000055,120.85333333333283
237,32,6,27,0,0,89.81093750000055,120.77333333333281
238,32,6,27,0,0,89.76093750000055,120.69333333333282
239,32,6,27,0,0,89.71093750000055,120.61333333333282
240,32,6,28,0,0,89.66093750000056,120.5333333333328
241,32,6,28,0,0,89.61093750000056,120.45333333333281
242,32,6,28,0,0,89.56093750000056,120.37333333333278
243,32,6,28,0,0,89.51093750000057,120.29333333333278
244,32,6,28,0,0,89.46093750000057,120.21333333333278
245,32,6,28,0,0,89.41093750000057,120.13333333333277
246,32,6,28,0,0,89.36093750000057,120.05333333333277
247,32,6,28,0,0,89.31093750000058,119.97333333333277
248,32,6,28,0,0,89.26093750000058,119.89333333333276
249,32,6,28,0,0,89.21093750000058,119.81333333333275
250,32,6,28,0,0,89.16093750000059,119.73333333333274
251,32,6,28,0,0,89.11093750000059,119.65333333333274
252,32,6,28,0,0,89.06093750000059,119.57333333333274
253,32,6,28,0,0,89.0109375000006,119.49333333333273
254,32,6,28,0,0,88.9609375000006,119.41333333333273
255,32,6,28,0,0,88.9109375000006,119.33333333333273
256,32,6,28,0,0,88.8609375000006,119.25333333333272
257,32,6,28,0,0,88.8109375000006,119.17333333333272
258,32,6,28,0,0,88.76093750000061,119.0933333333327
259,32,6,28,0,0,88.71093750000061,119.0133333333327
260,32,6,28,0,0,88.66093750000061,118.9333333333327
261,32,6,28,0,0,88.61093750000062,118.85333333333269
262,32,6,28,0,0,88.56093750000062,118.77333333333269
263,32,6,28,0,0,88.51093750000062,118.69333333333269
264,32,6,28,0,0,88.46093750000063,118.61333333333268
265,32,6,28,0,0,88.41093750000063,118.53333333333266
266,32,6,28,0,0,88.36093750000063,118.45333333333265
267,32,6,28,0,0,88.31093750000063,118.37333333333265
268,32,6,28,0,0,88.26093750000064,118.29333333333265
269,32,6,28,0,0,88.21093750000064,118.21333333333264
270,32,6,28,0,0,88.16093750000064,118.13333333333264
271,32,6,28,0,0,88.11093750000065,118.05333333333265
272,32,6,28,0,0,88.06093750000065,117.97333333333263
273,32,6,28,0,0,88.01093750000065,117.89333333333263
274,32,6,28,0,0,87.96093750000065,117.81333333333261
275,32,6,28,0,0,87.91093750000066,117.73333333333261
276,32,6,28,0,0,87.86093750000066,117.65333333333261
277,32,6,28,0,0,87.81093750000066,117.5733333333326
278,32,6,28,0,0,87.76093750000067,117.4933333333326
279,32,6,28,0,0,87.71093750000067,117.4133333333326
280,32,6,29,0,0,87.66093750000067,117.33333333333259
281,32,6,29,0,0,87.61093750000067,117.25333333333258
282,32,6,29,0,0,87.56093750000068,117.17333333333256
283,32,6,29,0,0,87.51093750000068,117.09333333333257
284,32,6,29,0,0,87.46093750000068,117.01333333333257
285,32,6,29,0,0,87.41093750000068,116.93333333333256
286,32,6,29,0,0,87.36093750000069,116.85333333333256
287,32,6,29,0,0,87.31093750000069,116.77333333333256
288,32,6,29,0,0,87.2609375000007,116.69333333333255
289,32,6,29,0,0,87.2109375000007,116.61333333333255
290,32,6,29,0,0,87.1609375000007,116.53333333333252
291,32,6,29,0,0,87.1109375000007,116.45333333333252
292,32,6,29,0,0,87.0609375000007,116.37333333333252
293,32,6,29,0,0,87.01093750000071,116.29333333333251
294,32,6,29,0,0,86.96093750000071,116.21333333333251
295,32,6,29,0,0,86.91093750000071,116.13333333333252
296,32,6,29,0,0,86.86093750000072,116.0533333333325
297,32,6,29,0,0,86.81093750000072,115.97333333333249
298,32,6,29,0,0,86.76093750000072,115.89333333333248
299,32,6,29,0,0,86.71093750000072,115.81333333333248
300,32,6,29,0,0,86.66093750000073,115.73333333333248
301,32,6,29,0,0,86.61093750000073,115.65333333333247
302,32,6,29,0,0,86.56093750000073,115.57333333333247
303,32,6,29,0,0,86.51093750000074,115.49333333333247
304,32,6,29,0,0,86.46093750000074,115.41333333333246
305,32,6,29,0,0,86.41093750000074,115.33333333333246
306,32,6,29,0,0,86.36093750000074,115.25333333333244
307,31,6,29,0,0,86.364516129033,126.83999999999911
308,31,6,29,0,0,86.31451612903301,126.7599999999991
309,31,6,29,0,0,86.26451612903301,126.6799999999991
310,31,6,29,0,0,86.21451612903302,126.59999999999907
311,31,6,29,0,0,86.16451612903302,126.51999999999907
312,31,6,29,0,0,86.11451612903302,126.43999999999907
313,31,6,29,0,0,86.06451612903302,126.35999999999906
314,31,6,29,0,0,86.01451612903303,126.27999999999905
315,31,6,29,0,0,85.96451612903303,126.19999999999904
316,31,6,29,0,0,85.91451612903303,126.11999999999904
317,31,6,29,0,0,85.86451612903303,126.03999999999904
318,31,6,29,0,0,85.81451612903304,125.95999999999901
319,31,6,28,0,0,87.05483870967821,125.87999999999901
320,31,6,29,0,0,87.0048387096782,125.799999999999
321,31,6,29,0,0,86.95483870967821,125.719999999999
322,31,6,29,0,0,86.90483870967822,125.63999999999898
323,31,6,29,0,0,86.8548387096782,125.55999999999898
324,31,6,29,0,0,86.80483870967822,125.47999999999898
325,31,6,29,0,0,86.75483870967821,125.39999999999897
326,31,6,29,0,0,86.70483870967823,125.31999999999896
327,31,6,29,0,0,86.65483870967823,125.23999999999894
328,31,6,29,0,0,86.60483870967822,125.15999999999894
329,31,6,29,0,0,86.55483870967824,125.07999999999895
330,31,6,29,0,0,86.50483870967822,124.99999999999892
331,31,6,29,0,0,86.45483870967824,124.91999999999892
332,31,6,29,0,0,86.40483870967824,124.83999999999891
333,31,6,29,0,0,86.35483870967825,124.75999999999891
334,31,6,29,0,0,86.30483870967825,124.67999999999888
335,31,6,29,0,0,86.25483870967824,124.59999999999889
336,31,6,29,0,0,86.20483870967826,124.51999999999889
337,31,6,29,0,0,86.15483870967824,124.43999999999888
338,31,6,29,0,0,86.10483870967826,124.35999999999886
339,31,6,29,0,0,86.05483870967826,124.27999999999885
340,31,6,29,0,0,86.00483870967825,124.19999999999885
341,31,6,29,0,0,85.95483870967827,124.11999999999885
342,31,6,29,0,0,85.90483870967826,124.03999999999883
343,31,6,29,0,0,85.85483870967828,123.95999999999883
344,31,6,29,0,0,85.80483870967828,123.87999999999882
345,31,6,29,0,0,85.75483870967827,123.79999999999882
346,31,6,29,0,0,85.70483870967828,123.71999999999879
347,31,6,29,0,0,85.65483870967827,123.63999999999879
348,31,6,29,0,0,85.60483870967829,123.5599999999988
349,31,6,29,0,0,85.5548387096783,123.47999999999878
350,31,6,29,0,0,85.50483870967828,123.39999999999877
351,31,6,29,0,0,85.4548387096783,123.31999999999876
352,31,6,29,0,0,85.40483870967829,123.23999999999876
353,31,6,29,0,0,85.3548387096783,123.15999999999876
354,31,6,29,0,0,85.30483870967831,123.07999999999873
355,31,6,29,0,0,85.2548387096783,122.99999999999874
356,31,6,29,0,0,85.20483870967831,122.91999999999872
357,31,6,29,0,0,85.1548387096783,122.83999999999872
358,31,6,29,0,0,85.10483870967832,122.7599999999987
359,31,6,29,0,0,85.05483870967832,122.6799999999987
360,31,6,30,0,0,85.00483870967831,122.5999999999987
361,31,6,30,0,0,84.95483870967833,122.51999999999869
362,31,6,30,0,0,84.90483870967832,122.43999999999868
363,31,6,30,0,0,84.85483870967833,122.35999999999866
364,31,6,30,0,0,84.80483870967834,122.27999999999867
365,31,6,30,0,0,84.75483870967834,122.19999999999867
366,31,6,30,0,0,84.70483870967834,122.11999999999864
367,31,6,30,0,0,84.65483870967833,122.03999999999864
